Step;mitbih-vaegan-256b-1d-0.00001beta-5ls - grid/lambda;mitbih-vaegan-512b-1d-0.000001beta-5ls - grid/lambda
10;0.10204081237316132;0.2857142686843872
20;0.10204081237316132;0.2857142686843872
30;0.10204081237316132;0.12244898080825806
40;0.1428571343421936;0.1428571343421936
50;0.20408162474632263;0.18367347121238708
60;0.1428571343421936;0.040816325694322586
70;0.12244898080825806;0.12244898080825806
80;0.26530611515045166;0.12244898080825806
90;0.4285714030265808;0.16326530277729034
100;0.22448979318141937;0.10204081237316132
110;0.22448979318141937;1
120;0.34693875908851624;0.3265306055545807
130;0.5102040767669678;0.44897958636283875
140;0.4897959232330322;0.30612242221832275
150;0.5714285969734192;0.2857142686843872
160;0.6122449040412903;0.40816324949264526
170;0.7551020383834839;0.2448979616165161
180;0.5102040767669678;0.20408162474632263
190;0.3877550959587097;0.26530611515045166
200;0.5306122303009033;0.2857142686843872
210;0.44897958636283875;0.26530611515045166
220;0.6734693646430969;0.20408162474632263
230;0.8775510787963867;0.22448979318141937
240;1;0.4897959232330322
250;1;0.36734694242477417
260;1;0.5918367505073547
270;1;0.26530611515045166
280;0.9795918464660645;0.26530611515045166
290;1;0.30612242221832275
300;1;0.30612242221832275
310;1;0.44897958636283875
320;0.9795918464660645;0.30612242221832275
330;1;0.36734694242477417
340;1;0.5510203838348389
350;0.9795918464660645;0.20408162474632263
360;1;0.5714285969734192
370;1;0.4285714030265808
380;1;0.5714285969734192
390;1;0.5714285969734192
400;1;0.5102040767669678
410;1;0.795918345451355
420;1;0.40816324949264526
430;1;0.5306122303009033
440;1;0.44897958636283875
450;1;0.795918345451355
460;0.9795918464660645;0.8367347121238708
470;1;0.9591836929321289
480;1;0.6122449040412903
490;1;1
500;1;1
